Order ID,Customer_ID,  Order Date,Category,Product Name,Qty,Unit Price,Country ,PaymentMethod,customer_email,Rating,Discount,Returned?
ORD1031,CUST114,2023/04/22,Clothing,Shampoo,1,,Australia,Credit Card,customer27@mail.com,2,,No
ORD1109,CUST33,30.06.2023,Beauty,,10,free,France,PayPal,customer80@mail.com,5,0.41,
ORD1136,CUST5,2024/02/16,beauty ,T-Shirt,8,28.03,INDIA,  paypal  ,customer111@mail.com,1,0.1,Yes
ORD1088,CUST188,19-Sep-2024,Clothing,T-Shirt,9,111.45,Australia,Credit Card,customer166@mail.com,4,13%,Yes
ORD1920,CUST75,2024-04-21,beauty ,Bluetooth Speaker,1,199.25,Germany,paypal,customer63@mail.com,2,16%,Yes
ORD1108,CUST111,06-11-2023,ELECTRONICS,Headphones,8,129.17,india,COD,customer17@mail.com,5,0.14,No
ORD1872,CUST53,2023/03/14,Electronics,T-Shirt,6,196.87,Germany,,customer3@mail.com,2,0.21,No
ORD1318,CUST241,16-May-2024,clothing,Yoga Mat,5,143.48,india,COD,customer84@mail.com,3,31%,Yes
ORD1261,CUST283,2023/05/30,beauty ,wireless mouse,1,33.82,india,NA,customer85@@mail.com,2,0.42,No
ORD1535,CUST100,02-08-2023,  Electronics  ,Smart Watch ,8,176.68,,paypal,CUSTOMER24@MAIL.COM,5,44%,Yes
ORD1737,CUST238,19-Dec-2023,Books ,  Power Bank  ,9,66.84,U.S.A,  CREDIT CARD  ,CUSTOMER82@MAIL.COM,5,,Yes
ORD1596,CUST79,05.03.2023,Electronics,wireless mouse,,109.64,,COD,,3,0.12,No
ORD1076,cust27,14-Apr-2024,electronics,,2,free,France,paypal,customer260@mail.com,4,0.19,no
ORD1107,CUST152,22.06.2024,clothing,,3,131.22,United Kingdom,upi,customer130@mail.com,1,40%,No
ORD1424,CUST129,2023/10/31,Electronics,USB-C Cable,8,167.9,unknown,UPI,,good,48%,N
ORD1584,CUST64,10.12.2023,beauty ,Power Bank,-5,,Germany,CREDIT CARD,,2,0.13,Yes
ORD1855,CUST72,10-12-2024,Electronics,,five,18.59,unknown,COD,customer75@@mail.com,5,0.34,
ORD1665,CUST249,2024/05/11,Clothing,Denim Jacket,6,102.75,INDIA,COD,,,,No
ORD1826,CUST61,02-08-2023,Clothing, Running Shoes,8,151.68,germany,,customer222@mail.com,2,29%,No
ORD1420,CUST226,2023-03-24,  Clothing  ,Wireless Mouse,6,149.79, France,credit card,customer278@mail.com,4,,Yes
ORD1597,CUST165,28-Jan-2023,ELECTRONICS, Running Shoes,,125.14,India,credit card,customer120@mail.com,5,0.06,No
ORD1458,CUST193,29.11.2024,ELECTRONICS,  Gel Pen  ,5,125.16,  unknown  ,COD,customer157@mail.com,5,0.48,No
ORD1312,CUST19,2024/09/26,Home and Kitchen,Headphones,3,130.19,unknown,CREDIT CARD,customer155@mail.com,2,0.45,No
